Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional			Viajero	Total 		2022M06	10.990.468
Total Nacional			Viajero	Total 		2022M05	9.920.671
Total Nacional			Viajero	Total 		2022M04	8.689.822
Total Nacional			Viajero	Total 		2022M03	6.061.398
Total Nacional			Viajero	Total 		2022M02	5.133.961
Total Nacional			Viajero	Total 		2022M01	3.770.578
Total Nacional			Viajero	Total 	Residentes en España	2022M06	5.422.886
Total Nacional			Viajero	Total 	Residentes en España	2022M05	4.672.236
Total Nacional			Viajero	Total 	Residentes en España	2022M04	4.733.976
Total Nacional			Viajero	Total 	Residentes en España	2022M03	3.432.900
Total Nacional			Viajero	Total 	Residentes en España	2022M02	3.164.177
Total Nacional			Viajero	Total 	Residentes en España	2022M01	2.342.492
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M06	5.567.582
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M05	5.248.435
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M04	3.955.846
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M03	2.628.498
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M02	1.969.784
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M01	1.428.086
Total Nacional			Pernoctaciones	Total 		2022M06	35.111.326
Total Nacional			Pernoctaciones	Total 		2022M05	29.785.395
Total Nacional			Pernoctaciones	Total 		2022M04	25.197.638
Total Nacional			Pernoctaciones	Total 		2022M03	17.632.648
Total Nacional			Pernoctaciones	Total 		2022M02	13.623.546
Total Nacional			Pernoctaciones	Total 		2022M01	10.598.385
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M06	12.216.496
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M05	10.052.067
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M04	10.260.559
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M03	7.071.757
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M02	6.018.570
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M01	4.536.018
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M06	22.894.830
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M05	19.733.328
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M04	14.937.079
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M03	10.560.891
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M02	7.604.976
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M01	6.062.368
Total Nacional	01 Andalucía		Viajero	Total 		2022M06	1.947.800
Total Nacional	01 Andalucía		Viajero	Total 		2022M05	1.833.026
Total Nacional	01 Andalucía		Viajero	Total 		2022M04	1.670.249
Total Nacional	01 Andalucía		Viajero	Total 		2022M03	1.147.658
Total Nacional	01 Andalucía		Viajero	Total 		2022M02	989.820
Total Nacional	01 Andalucía		Viajero	Total 		2022M01	694.614
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M06	1.168.278
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M05	1.003.842
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M04	967.766
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M03	695.459
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M02	683.530
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M01	462.136
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M06	779.523
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M05	829.183
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M04	702.483
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M03	452.199
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M02	306.290
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M01	232.478
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M06	5.465.281
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M05	4.929.904
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M04	4.411.625
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M03	2.835.322
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M02	2.149.204
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M01	1.463.661
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M06	2.678.849
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M05	2.214.034
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M04	2.201.487
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M03	1.430.902
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M02	1.269.054
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M01	826.684
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M06	2.786.431
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M05	2.715.870
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M04	2.210.138
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M03	1.404.420
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M02	880.150
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M01	636.977
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M06	185.257
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M05	118.852
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M04	89.441
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M03	55.785
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M02	49.429
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M01	31.298
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M06	153.172
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M05	90.422
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M04	70.416
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M03	42.511
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M02	39.146
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M01	22.290
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M06	32.084
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M05	28.431
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M04	19.025
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M03	13.274
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M02	10.284
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M01	9.007
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M06	579.428
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M05	372.006
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M04	264.538
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M03	168.255
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M02	103.607
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M01	65.951
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M06	419.902
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M05	261.272
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M04	205.526
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M03	124.044
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M02	69.288
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M01	40.808
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M06	159.526
