Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional			Viajero	Total 		2022M12	6.054.556
Total Nacional			Viajero	Total 		2022M11	6.284.698
Total Nacional			Viajero	Total 		2022M10	9.743.259
Total Nacional			Viajero	Total 		2022M09	11.050.305
Total Nacional			Viajero	Total 		2022M08	12.889.916
Total Nacional			Viajero	Total 		2022M07	12.292.936
Total Nacional			Viajero	Total 	Residentes en España	2022M12	3.567.132
Total Nacional			Viajero	Total 	Residentes en España	2022M11	3.541.109
Total Nacional			Viajero	Total 	Residentes en España	2022M10	4.657.750
Total Nacional			Viajero	Total 	Residentes en España	2022M09	5.178.258
Total Nacional			Viajero	Total 	Residentes en España	2022M08	6.526.507
Total Nacional			Viajero	Total 	Residentes en España	2022M07	6.075.062
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M12	2.487.423
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M11	2.743.589
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M10	5.085.510
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M09	5.872.047
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M08	6.363.409
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2022M07	6.217.875
Total Nacional			Pernoctaciones	Total 		2022M12	16.627.833
Total Nacional			Pernoctaciones	Total 		2022M11	17.661.676
Total Nacional			Pernoctaciones	Total 		2022M10	29.865.924
Total Nacional			Pernoctaciones	Total 		2022M09	35.999.861
Total Nacional			Pernoctaciones	Total 		2022M08	46.140.100
Total Nacional			Pernoctaciones	Total 		2022M07	42.121.775
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M12	7.121.128
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M11	7.046.984
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M10	9.771.323
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M09	12.065.204
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M08	18.268.800
Total Nacional			Pernoctaciones	Total 	Residentes en España	2022M07	15.608.687
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	9.506.705
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	10.614.692
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	20.094.601
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	23.934.658
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	27.871.300
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	26.513.088
Total Nacional	01 Andalucía		Viajero	Total 		2022M12	1.007.743
Total Nacional	01 Andalucía		Viajero	Total 		2022M11	1.084.818
Total Nacional	01 Andalucía		Viajero	Total 		2022M10	1.685.566
Total Nacional	01 Andalucía		Viajero	Total 		2022M09	1.980.050
Total Nacional	01 Andalucía		Viajero	Total 		2022M08	2.172.087
Total Nacional	01 Andalucía		Viajero	Total 		2022M07	2.076.997
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M12	648.223
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M11	666.655
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M10	867.663
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M09	1.092.918
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M08	1.370.076
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2022M07	1.324.060
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M12	359.520
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M11	418.162
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M10	817.904
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M09	887.132
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M08	802.011
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2022M07	752.937
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M12	2.217.856
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M11	2.568.134
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M10	4.588.507
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M09	5.716.205
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M08	7.285.972
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2022M07	6.515.807
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M12	1.270.267
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M11	1.306.991
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M10	1.821.955
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M09	2.718.541
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M08	4.337.352
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2022M07	3.799.539
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	947.588
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	1.261.143
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	2.766.552
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	2.997.664
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	2.948.620
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	2.716.268
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M12	43.239
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M11	51.315
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M10	97.379
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M09	177.878
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M08	248.328
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2022M07	228.909
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M12	33.013
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M11	38.622
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M10	71.229
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M09	142.904
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M08	206.936
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2022M07	189.343
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M12	10.226
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M11	12.693
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M10	26.150
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M09	34.974
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M08	41.392
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2022M07	39.566
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M12	107.259
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M11	130.021
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M10	296.514
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M09	656.442
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M08	1.031.221
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2022M07	902.001
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M12	75.710
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M11	83.630
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M10	166.322
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M09	485.307
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M08	827.319
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2022M07	732.355
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	31.548
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	46.391
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	130.192
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	171.135
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	203.902
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	169.646
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M12	107.834
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M11	123.488
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M10	233.672
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M09	316.371
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M08	375.881
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2022M07	380.127
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M12	81.711
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M11	87.654
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M10	139.809
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M09	210.507
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M08	287.126
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2022M07	289.088
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M12	26.123
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M11	35.834
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M10	93.863
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M09	105.865
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M08	88.755
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2022M07	91.039
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M12	226.250
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M11	285.108
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M10	680.638
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M09	975.105
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M08	1.343.284
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2022M07	1.210.633
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M12	161.185
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M11	178.817
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M10	325.433
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M09	581.782
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M08	1.029.956
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2022M07	882.869
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	65.065
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	106.291
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	355.206
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	393.323
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	313.328
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	327.764
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M12	75.556
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M11	85.818
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M10	107.063
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M09	98.524
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M08	87.450
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2022M07	72.712
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M12	53.101
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M11	59.044
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M10	62.365
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M09	57.170
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M08	56.282
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2022M07	47.748
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M12	.
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M11	26.774
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M10	44.698
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M09	41.354
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M08	31.168
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2022M07	24.964
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M12	134.597
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M11	146.557
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M10	183.303
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M09	161.512
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M08	158.275
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2022M07	127.223
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M12	96.860
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M11	102.956
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M10	109.845
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M09	92.553
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M08	104.822
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2022M07	85.238
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	37.737
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	43.602
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	73.457
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	68.959
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	53.453
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	41.985
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M12	191.517
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M11	165.033
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M10	240.557
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M09	245.831
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M08	264.810
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2022M07	226.091
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M12	133.853
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M11	108.565
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M10	139.347
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M09	142.538
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M08	167.963
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2022M07	137.410
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M12	57.664
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M11	56.469
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M10	101.210
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M09	103.293
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M08	96.847
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2022M07	88.681
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M12	362.561
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M11	322.084
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M10	499.646
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M09	517.671
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M08	604.327
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2022M07	497.562
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M12	246.462
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M11	203.413
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M10	272.581
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M09	291.100
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M08	405.681
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M07	320.575
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	116.099
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	118.672
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	227.064
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	226.571
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	198.646
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	176.987
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M12	25.594
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M11	42.243
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M10	83.177
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M09	142.926
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M08	168.823
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M07	171.922
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M12	20.506
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M11	32.912
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M10	60.410
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M09	104.723
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M08	136.330
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M07	143.959
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M12	5.088
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M11	9.331
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M10	22.767
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M09	38.203
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M08	32.493
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M07	27.963
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M12	56.488
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M11	96.863
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M10	250.449
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M09	519.622
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M08	749.490
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2022M07	659.917
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M12	43.035
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M11	64.652
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M10	154.928
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M09	334.144
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M08	562.815
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2022M07	520.089
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M12	13.453
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M11	32.211
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M10	95.521
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M09	185.478
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M08	186.674
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2022M07	139.828
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M12	36.780
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M11	40.758
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M10	53.919
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M09	53.363
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M08	52.629
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M07	47.918
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M12	33.437
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M11	36.424
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M10	47.486
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M09	45.620
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M08	46.120
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M07	42.519
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2022M12	3.342
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2022M11	4.334
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2022M10	6.433
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2022M09	7.743
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2022M08	6.509
