Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional			Viajero	Total 		2023M09	11.635.208
Total Nacional			Viajero	Total 	Residentes en España	2023M09	5.132.262
Total Nacional			Viajero	Total 	Residentes en el Extranjero	2023M09	6.502.946
Total Nacional			Pernoctaciones	Total 		2023M09	38.085.285
Total Nacional			Pernoctaciones	Total 	Residentes en España	2023M09	11.810.259
Total Nacional			Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	26.275.026
Total Nacional	01 Andalucía		Viajero	Total 		2023M09	2.032.826
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en España	2023M09	1.044.697
Total Nacional	01 Andalucía		Viajero	Total 	Residentes en el Extranjero	2023M09	988.129
Total Nacional	01 Andalucía		Pernoctaciones	Total 		2023M09	6.002.929
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en España	2023M09	2.588.824
Total Nacional	01 Andalucía		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	3.414.106
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 		2023M09	178.491
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en España	2023M09	138.686
Total Nacional	01 Andalucía	04 Almería	Viajero	Total 	Residentes en el Extranjero	2023M09	39.804
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 		2023M09	669.529
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en España	2023M09	474.975
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	194.554
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 		2023M09	311.445
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en España	2023M09	200.986
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total 	Residentes en el Extranjero	2023M09	110.459
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 		2023M09	996.508
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en España	2023M09	570.064
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	426.444
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 		2023M09	105.884
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en España	2023M09	58.952
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total 	Residentes en el Extranjero	2023M09	46.932
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 		2023M09	171.404
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en España	2023M09	99.768
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	71.636
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 		2023M09	262.778
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en España	2023M09	144.260
Total Nacional	01 Andalucía	18 Granada	Viajero	Total 	Residentes en el Extranjero	2023M09	118.518
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 		2023M09	546.853
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2023M09	289.553
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	257.300
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2023M09	144.469
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2023M09	100.072
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2023M09	44.397
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 		2023M09	545.065
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en España	2023M09	310.599
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	234.467
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2023M09	50.562
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2023M09	42.533
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2023M09	8.029
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 		2023M09	90.877
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en España	2023M09	77.880
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	12.997
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total 		2023M09	639.846
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total 	Residentes en España	2023M09	205.989
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total 	Residentes en el Extranjero	2023M09	433.856
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total 		2023M09	2.312.615
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total 	Residentes en España	2023M09	511.431
