Provincias,2022M01_Residentes en Espana,2022M01_Residentes en el Extranjero,2022M02_Residentes en Espana,2022M02_Residentes en el Extranjero,2022M03_Residentes en Espana,2022M03_Residentes en el Extranjero,2022M04_Residentes en Espana,2022M04_Residentes en el Extranjero,2022M05_Residentes en Espana,2022M05_Residentes en el Extranjero,2022M06_Residentes en Espana,2022M06_Residentes en el Extranjero,2022M07_Residentes en Espana,2022M07_Residentes en el Extranjero,2022M08_Residentes en Espana,2022M08_Residentes en el Extranjero,2022M09_Residentes en Espana,2022M09_Residentes en el Extranjero,2022M10_Residentes en Espana,2022M10_Residentes en el Extranjero,2022M11_Residentes en Espana,2022M11_Residentes en el Extranjero,2022M12_Residentes en Espana,2022M12_Residentes en el Extranjero
A CORUÑA,92.820,23.102,128.622,25.137,153.507,46.227,213.752,93.380,209.105,153.514,238.568,160.124,392.691,144.738,495.128,140.575,275.605,168.581,229.986,155.406,173.188,58.357,144.998,41.098
ALBACETE,25.284,2.980,32.498,7.891,43.453,5.416,60.866,6.047,61.782,7.086,60.120,6.518,56.655,7.964,73.671,7.257,70.643,8.632,66.819,7.566,52.608,12.094,38.813,6.397
ALICANTE,171.987,198.286,287.162,308.248,419.223,532.215,698.398,687.663,652.351,844.278,792.203,855.641,1.119.077,953.197,1.292.954,1.045.358,726.002,954.588,629.533,850.878,560.122,581.167,490.876,428.586
ALMERIA,40.808,25.143,69.288,34.320,124.044,44.210,205.526,59.012,261.272,110.734,419.902,159.526,732.355,169.646,827.319,203.902,485.307,171.135,166.322,130.192,83.630,46.391,75.710,31.548
ARABA/ALAVA,28.243,7.540,35.958,8.782,45.593,12.828,50.651,15.935,48.807,21.770,48.457,24.698,55.786,34.297,70.075,31.222,51.216,26.209,55.261,21.870,46.690,13.508,46.784,10.819
ASTURIAS,91.380,12.376,116.352,15.359,138.106,22.111,241.887,43.278,217.564,66.128,289.514,79.361,466.064,86.509,576.911,96.481,345.282,83.184,273.286,56.434,160.837,24.575,148.630,22.697
AVILA,22.053,2.925,27.145,4.478,29.742,4.779,45.550,7.399,42.224,9.637,38.940,9.430,48.053,8.302,64.079,8.537,46.948,9.325,47.480,9.479,35.003,4.792,33.594,4.744
BADAJOZ,46.362,6.030,68.167,8.065,83.615,9.972,111.977,15.424,99.053,12.885,95.400,16.483,100.287,18.540,120.485,24.171,107.018,17.712,108.674,15.046,79.728,10.457,64.901,9.654
BARCELONA,354.869,641.291,419.550,975.350,516.812,1.372.491,605.783,1.927.190,614.237,2.303.551,659.593,2.549.429,724.881,2.954.985,692.499,3.182.414,596.473,2.482.226,607.951,2.314.570,508.819,1.484.186,498.284,1.262.761
BIZKAIA,71.872,27.808,100.051,35.317,118.027,58.038,135.316,103.795,133.048,119.210,144.259,123.868,179.855,160.607,222.832,166.983,152.206,146.121,152.611,121.775,129.415,68.012,136.490,55.736
BURGOS,41.102,11.943,58.389,13.470,68.224,17.543,87.145,27.761,76.288,40.039,77.257,37.508,93.649,56.384,121.789,64.057,93.341,42.936,93.588,35.546,75.140,17.357,66.564,15.434
CACERES,46.624,5.717,65.796,6.996,78.796,8.751,111.644,18.936,93.042,20.897,87.545,14.178,92.212,14.445,114.347,15.938,99.751,17.384,106.711,16.281,82.406,9.839,65.561,7.014
CADIZ,89.031,52.697,149.028,83.798,165.496,138.148,374.612,247.336,426.243,311.915,576.595,357.838,882.869,327.764,1.029.956,313.328,581.782,393.323,325.433,355.206,178.817,106.291,161.185,65.065
CANTABRIA,52.547,16.746,77.504,20.032,98.525,33.872,173.621,54.520,169.241,81.610,210.897,85.285,381.269,99.244,465.949,94.619,258.261,92.993,188.888,60.709,95.582,23.257,85.002,17.797
CASTELLON,35.283,13.903,58.627,25.057,116.454,29.121,248.934,56.043,225.698,57.188,346.942,55.355,476.723,65.730,563.749,83.476,351.278,86.370,172.861,56.423,87.018,20.763,64.995,18.938
CIUDAD REAL,30.878,3.405,42.813,4.545,42.417,4.532,63.622,7.101,59.943,8.475,56.543,9.211,61.858,9.569,64.998,8.309,61.761,8.926,63.874,7.919,49.580,6.621,38.563,4.493
CORDOBA,69.806,24.437,92.965,30.356,92.613,45.883,118.883,63.500,118.656,72.528,90.359,53.128,85.238,41.985,104.822,53.453,92.553,68.959,109.845,73.457,102.956,43.602,96.860,37.737
CUENCA,25.734,3.350,33.349,3.790,36.379,4.034,47.521,7.281,41.113,8.773,38.815,8.112,47.521,6.178,55.659,5.909,45.739,6.475,47.401,7.356,36.405,4.523,29.472,2.995
GIPUZKOA,57.328,36.120,83.280,47.535,98.695,60.240,129.666,90.675,106.604,123.406,109.531,147.172,144.300,192.109,168.247,168.699,120.770,145.990,121.337,120.728,106.684,72.579,100.803,55.844
GIRONA,148.330,56.573,158.061,113.688,193.695,124.045,341.555,483.804,294.420,685.925,525.728,860.032,619.760,1.448.306,826.799,1.533.968,372.824,1.004.850,253.035,621.275,130.250,153.317,189.849,108.360
GRANADA,195.488,81.907,255.860,93.690,232.877,130.079,311.836,199.768,245.474,204.107,273.633,185.199,320.575,176.987,405.681,198.646,291.100,226.571,272.581,227.064,203.413,118.672,246.462,116.099
GUADALAJARA,18.410,1.731,25.676,3.340,25.056,7.813,36.225,8.526,33.974,11.346,40.129,8.508,41.746,8.759,33.752,8.974,35.915,9.003,36.494,7.346,29.041,7.936,29.913,5.641
