Periodo,2022M01,2022M01,2022M02,2022M02,2022M03,2022M03,2022M04,2022M04,2022M05,2022M05,2022M06,2022M06,2022M07,2022M07,2022M08,2022M08,2022M09,2022M09,2022M10,2022M10,2022M11,2022M11,2022M12,2022M12
Residencia_Nivel_2,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero,Residentes en Espana,Residentes en el Extranjero
Provincias,,,,,,,,,,,,,,,,,,,,,,,,
A CORUÑA,51.283,10.804,72.223,13.320,82.649,24.794,119.875,57.536,119.893,97.410,132.289,94.573,194.874,82.142,232.843,80.681,150.900,105.761,131.666,94.199,94.029,28.034,79.982,18.050
ALBACETE,15.963,1.525,20.754,2.755,25.686,2.440,33.808,3.040,31.837,3.871,31.137,3.350,29.234,3.624,33.219,4.218,34.265,3.715,32.825,3.847,26.850,3.848,23.932,2.356
ALICANTE,75.778,49.765,133.494,78.422,135.526,124.360,221.231,168.677,209.441,196.679,253.485,195.961,319.351,217.146,341.418,219.568,209.071,210.661,186.149,187.378,169.490,123.020,163.532,97.349
ALMERIA,22.290,9.007,39.146,10.284,42.511,13.274,70.416,19.025,90.422,28.431,153.172,32.084,189.343,39.566,206.936,41.392,142.904,34.974,71.229,26.150,38.622,12.693,33.013,10.226
ARABA/ALAVA,14.076,4.006,18.289,4.280,23.209,6.003,26.586,8.969,25.469,11.329,24.420,13.411,28.057,20.638,31.811,20.632,26.529,14.493,28.037,10.666,24.043,6.280,24.316,5.299
ASTURIAS,50.991,4.456,65.177,5.964,75.718,8.725,118.092,20.394,110.048,33.637,138.932,38.820,200.203,41.964,226.348,48.464,156.490,44.737,132.523,28.491,84.090,10.322,77.550,8.345
AVILA,14.149,1.219,17.457,1.824,18.555,1.925,27.767,3.566,28.581,4.333,25.157,4.412,28.580,3.802,38.894,4.301,30.647,5.149,29.933,5.000,22.857,2.303,21.731,2.257
BADAJOZ,26.897,3.534,41.121,5.203,43.846,6.404,59.035,10.053,53.779,8.775,54.271,11.197,62.813,14.142,71.387,16.665,60.489,11.103,56.354,9.535,44.154,6.270,38.340,5.775
BARCELONA,183.731,235.175,220.732,360.443,258.640,479.869,297.090,657.737,292.049,788.946,303.980,836.187,335.624,926.342,283.775,950.248,296.716,845.137,316.090,837.958,267.015,555.341,264.577,478.479
BIZKAIA,43.582,14.084,60.525,18.391,67.728,28.981,78.300,52.795,76.646,61.952,79.859,62.479,97.637,87.345,101.780,87.215,81.732,74.437,83.235,59.291,73.183,33.199,75.258,27.780
BURGOS,25.249,8.436,36.617,8.556,41.771,11.765,54.790,20.614,48.883,28.483,47.883,27.486,54.521,44.427,76.550,54.722,58.725,32.446,57.168,26.209,45.390,11.971,38.885,11.458
CACERES,26.424,3.101,36.899,4.022,42.026,5.420,59.719,9.711,47.993,11.463,51.317,8.766,54.390,8.945,62.308,10.673,54.099,11.130,52.986,10.543,44.120,5.448,35.233,4.596
CADIZ,49.164,17.547,80.010,27.531,85.986,39.880,163.824,76.934,197.200,89.603,232.757,93.969,289.088,91.039,287.126,88.755,210.507,105.865,139.809,93.863,87.654,35.834,81.711,26.123
